,Title,Material List,Items Removed from the bin,Items that need to be Cleaned,Clearly missing items,Worked on by,Notes:
107494,On Sandy Shores (2/2),pictures of sandy beaches ,,,rock/mineral kit,Yaire,
,,white cardstock,,,,,
,,6 white glues,,,,,
,,1 masking tape,,,,,
,,1 bag of hand lenses,,,,,
,,2 packs of index cards,,,,,
,,1 pack of construction paper,,,,,
,,6 bags of sand,,,,,
,,1 pack of magnets,,,,,
,,1 bag of stockings,,,,,
,,1 white dishpan,,,,,
,,1 bag of lima beans,,,,,
,,2 bags of beans ,,,,,
,,1 bag of hay ,,,,,
,,1 bag of kitty liter ,,,,,
,,2 bags of clay,,,,,
,,1 bag of 5 granite rocks,,,,,
,,1 bag of marbles ,,,,,
,,1 dry temp powder (black),,,,,
,,1 pack of craft fur,,,,,
,,4 1lb blocks of modeling clay (purple),,,,,
,,1 bag of modeling clay (red),,,,,
,,2 sticks of modeling clay,,,,,
,,1 clear 15 QT bin,,,,,
,,1 100 pack of pipe cleaners,,,,,
,,2 brushes,,,,,
,,1 roll of fishing wire (blue),,,,,
,,1 box of toothpicks,,,,,
,,1 bag of 2 rubber stoppers,,,,,
,,2 rolls of paper streamers,,,,,
,,2 bags of cotton balls,,,,,
107492,On Sandy Shores (1/2),8 clear plastic bottles,,8 clear plastic bottles,,Yaire,
,,1 bucket,,,,,
,,1 bag of plastic straws,,,,,
,,1 bag of plastic plates (blue),,,,,
,,1 bag of paper plates ,,,,,
,,6 paper cups ,,,,,
,,1 bag of feathers,,,,,
,,1 bag w/ different sized ziploc bags,,,,,
,,2 trash bags,,,,,
,,1 inflatable globe,,,,,
,,1 model shore,,,,,
135928,Plotting and Growing Box 2 of 2,1 bag of white board  cards,broken plastic bag- trash,,,Jake,Some of the white board cards have the classic white board smuge gunk on them but all are still usable
,,1 additon/ subtraction table,sticky notes- returned to inventory,,,,
,,1 bag of 2 white board markers,,,,,
,,"5 ""function machines"" with stands inside",,,,,
107741,Convection: A current event,1 teachers guide,,,baking soda,Yaire,
,,1 package of white paper,,,,,
,,8 trays (red),,,,,
,,4 2Qt pitchers,,,,,
,,2 1oz food coloring (blue),,,,,
,,1 tablespoon,,,,,
,,1 pack of sentence strips,,,,,
,,1 16oz bottle of strawberry extract,,,,,
,,8 plastic pipettes,,,,,
,,1 paper towel roll,,,,,
,,8 clear plastic plant trays/pans,,,,,
,,1 pair of tongs,,,,,
,,1 400ml beaker,,,,,
,,1 petri dish,,,,,
,,8 buckets,,,,,
,,1 pint white vinegar,,,,,
,,2 tea candles,,,,,
,,stryofoam cups,,,,,
,,8 plastic cups,,,,,
